"subjID","trial","deck","loss","gain","Study","group_id"
5,61,3,0,50,"Horstmann",1
5,62,3,0,50,"Horstmann",1
5,63,3,-50,50,"Horstmann",1
5,64,3,-50,50,"Horstmann",1
5,65,3,0,50,"Horstmann",1
5,66,3,0,50,"Horstmann",1
5,67,4,0,50,"Horstmann",1
5,68,4,0,50,"Horstmann",1
5,69,4,0,50,"Horstmann",1
5,70,3,-50,50,"Horstmann",1
5,71,3,0,50,"Horstmann",1
5,72,3,-50,50,"Horstmann",1
5,73,3,-50,50,"Horstmann",1
5,74,1,-150,100,"Horstmann",1
5,75,2,0,100,"Horstmann",1
5,76,3,-50,50,"Horstmann",1
5,77,4,0,50,"Horstmann",1
5,78,4,-250,50,"Horstmann",1
5,79,3,0,50,"Horstmann",1
5,80,3,0,50,"Horstmann",1
5,81,3,-50,50,"Horstmann",1
5,82,3,0,50,"Horstmann",1
5,83,3,0,50,"Horstmann",1
5,84,3,-50,50,"Horstmann",1
5,85,1,0,100,"Horstmann",1
5,86,1,-250,100,"Horstmann",1
5,87,2,-1250,100,"Horstmann",1
5,88,2,0,100,"Horstmann",1
5,89,2,0,100,"Horstmann",1
5,90,2,0,100,"Horstmann",1
5,91,2,0,100,"Horstmann",1
5,92,2,0,100,"Horstmann",1
5,93,2,0,100,"Horstmann",1
5,94,2,-1250,100,"Horstmann",1
5,95,3,0,50,"Horstmann",1
5,96,3,0,50,"Horstmann",1
5,97,3,0,50,"Horstmann",1
5,98,3,-50,50,"Horstmann",1
5,99,4,0,50,"Horstmann",1
5,100,4,0,50,"Horstmann",1
6,1,2,0,100,"Horstmann",1
6,2,2,0,100,"Horstmann",1
6,3,3,0,50,"Horstmann",1
6,4,2,0,100,"Horstmann",1
6,5,4,0,50,"Horstmann",1
6,6,1,-300,100,"Horstmann",1
6,7,2,0,100,"Horstmann",1
6,8,3,-50,50,"Horstmann",1
6,9,4,0,50,"Horstmann",1
6,10,2,-1250,100,"Horstmann",1
6,11,3,0,50,"Horstmann",1
6,12,4,0,50,"Horstmann",1
6,13,1,-150,100,"Horstmann",1
6,14,3,-50,50,"Horstmann",1
6,15,2,0,100,"Horstmann",1
6,16,2,0,100,"Horstmann",1
6,17,2,0,100,"Horstmann",1
